birthrate,deathrate,lifeexpM,lifeexpF,infantdeaths,GNIpercapita,region,country
33.21,6.58,62.70,65.66,49.50,2229.66,2,Afghanistan
11.93,7.71,76.60,80.15,8.00,13071.10,3,Albania
24.85,4.72,75.31,77.74,20.60,11371.70,6,Algeria
41.28,8.43,57.68,63.25,53.40,6861.58,7,Angola
15.53,6.32,75.57,77.87,5.20,18922.62,5,Antigua and Barbuda
17.21,7.62,72.92,79.73,9.30,22962.35,5,Argentina
14.30,9.86,71.12,78.17,11.60,12543.19,3,Armenia
12.60,6.50,80.50,84.60,3.10,47575.82,1,Australia
10.00,9.50,79.40,84.00,2.90,54151.55,3,Austria
14.60,5.80,70.13,75.22,20.40,13513.40,3,Azerbaijan
14.37,2.37,76.19,78.14,6.20,44966.50,6,Bahrain
18.50,5.53,70.41,73.98,26.50,4339.89,2,Bangladesh
10.68,8.94,77.56,80.31,11.60,15079.16,5,Barbados
10.80,12.60,69.30,79.20,2.70,17584.77,3,Belarus
10.50,9.60,79.20,83.90,3.00,51319.37,3,Belgium
21.08,4.68,71.53,77.45,11.80,6507.26,5,Belize
36.62,9.03,59.63,62.69,61.90,3010.90,7,Benin
17.46,6.24,70.82,71.44,25.60,10174.64,2,Bhutan
22.08,6.80,68.17,73.88,22.80,8185.54,5,Bolivia
8.29,10.56,74.62,79.58,5.10,13738.52,3,Bosnia and Herzegovina
25.40,5.83,65.79,71.56,30.80,15981.34,7,Botswana
14.13,6.38,71.80,79.16,13.20,14248.31,5,Brazil
15.38,4.35,74.45,76.82,9.60,64618.86,1,Brunei Darussalam
9.00,15.50,71.40,78.40,6.20,20852.60,3,Bulgaria
38.42,8.34,59.98,61.43,50.40,1976.75,7,Burkina Faso
39.65,8.11,59.09,62.68,42.40,772.40,7,Burundi
19.92,5.68,69.09,75.81,17.20,6414.02,7,Cabo Verde
22.89,6.02,67.06,71.32,25.10,3684.46,1,Cambodia
35.90,9.50,57.24,59.80,52.20,3487.38,7,Cameroon
10.30,7.50,79.90,84.10,4.40,48068.86,4,Canada
35.66,12.67,50.15,54.35,86.50,959.31,7,Central African Republic
42.68,12.31,52.32,55.13,73.10,1566.26,7,Chad
12.71,6.08,77.33,82.33,6.30,22685.23,5,Chile
12.43,7.11,74.32,78.83,7.90,14333.13,1,China
15.10,5.50,74.12,79.69,12.60,14054.88,5,Colombia
32.37,7.30,62.21,65.68,52.80,3049.00,7,Comoros
41.73,9.69,58.53,61.54,70.00,1029.88,7,"Congo, Dem. Rep."
33.38,6.83,62.55,65.32,37.10,3126.30,7,"Congo, Rep."
14.25,5.01,77.35,82.56,7.60,18160.75,5,Costa Rica
8.90,13.00,74.90,80.90,4.00,26204.52,3,Croatia
10.67,6.95,78.55,82.79,2.00,36615.74,3,Cyprus
10.80,10.50,76.10,82.00,2.60,36123.63,3,Czech Republic
10.60,9.20,79.20,83.10,3.60,56234.84,3,Denmark
21.94,7.29,64.00,68.02,51.20,5103.07,6,Djibouti
19.80,6.12,70.61,76.99,24.80,15941.68,5,Dominican Republic
19.97,5.10,73.83,79.44,12.50,11359.68,5,Ecuador
27.05,5.86,69.45,73.97,18.70,10799.58,6,"Egypt, Arab Rep."
18.43,7.01,68.01,77.42,12.20,7984.43,5,El Salvador
33.73,9.54,57.06,59.26,64.50,16604.36,7,Equatorial Guinea
10.50,11.80,73.80,82.60,2.20,33018.31,3,Estonia
26.77,9.84,54.33,62.75,45.50,7995.47,7,Eswatini
32.78,6.69,64.00,67.78,40.60,2009.56,7,Ethiopia
21.56,8.18,65.59,69.04,21.40,12610.81,1,Fiji
9.10,9.80,78.90,84.50,1.50,47490.91,3,Finland
11.50,9.10,79.60,85.70,3.40,45850.93,3,France
32.16,7.00,63.88,67.88,33.70,14058.12,7,Gabon
38.97,8.04,60.09,62.84,40.00,2033.68,7,"Gambia, The"
13.72,12.92,68.98,77.82,8.90,12923.98,3,Georgia
9.50,11.30,78.70,83.40,3.20,54368.29,3,Germany
29.84,7.41,62.44,64.50,36.10,4863.98,7,Ghana
8.20,11.60,78.80,83.90,3.70,29145.56,3,Greece
16.70,9.56,70.07,74.95,13.80,14711.92,5,Grenada
24.91,4.76,70.83,76.72,22.80,8143.02,5,Guatemala
36.77,8.72,60.04,61.15,66.30,2408.66,7,Guinea
35.70,9.81,55.60,59.62,55.70,1929.17,7,Guinea-Bissau
20.20,7.37,66.61,72.85,25.90,8779.92,5,Guyana
24.75,8.64,61.14,65.45,50.80,1774.92,5,Haiti
21.86,4.43,72.57,77.20,15.60,5221.70,5,Honduras
9.70,13.50,72.50,79.30,3.80,28344.31,3,Hungary
11.90,6.50,81.10,84.30,1.60,54377.50,3,Iceland
18.08,7.21,68.00,70.43,31.50,6119.13,2,India
18.42,6.43,69.16,73.52,21.90,10589.33,1,Indonesia
19.01,4.84,75.22,77.44,12.80,14562.91,6,"Iran, Islamic Rep."
29.69,4.83,68.28,72.32,23.20,10890.97,6,Iraq
12.90,6.30,80.40,84.00,3.20,62042.69,3,Ireland
21.10,5.10,80.60,84.60,3.00,38573.06,6,Israel
7.60,10.70,80.80,85.20,2.70,42013.20,3,Italy
16.29,7.56,72.71,75.88,12.80,9315.19,5,Jamaica
7.60,10.80,81.09,87.26,1.90,42315.34,1,Japan
22.62,3.84,72.63,76.05,14.30,9791.29,6,Jordan
21.64,7.15,68.72,76.92,9.20,22157.87,3,Kazakhstan
29.30,5.58,63.54,68.24,31.80,3968.91,7,Kenya
28.29,6.40,63.74,71.88,42.40,4287.10,1,Kiribati
